slang,normalisasi
jasanyaa,jasanya
jauh2,jauh-jauh
jauhh,jauh
jauuh,jauh
jauuuh,jauh
jawabn,jawaban
jd,jadi
jdi,jadi
jdinya,jadinya
jdny,jadinya
jdnya,jadinya
je,kenapa sih
jeblog,jeblok
jelas2,jelas-jelas
jelasinnnnnnn,jelasin
jelasss,jelas
jelassss,jelas
jelasssss,jelas
jelassssss,jelas
jeleeeek,jelek
jeleeekkkk,jelek
jelek2,jelek-jelek
jelekk,jelek
jelekkk,jelek
jelekkkk,jelek
jelekkkkkk,jelek
jelkkkk,jelek
jempu,jemput
jepat,cepat
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jgn2,jangan-jangan
jkrt,jakarta
jkrta,jakarta
jlan,jalan
jlas,jelas
jlk,jelek
jlkk,jelek
jln,jalan
jls,jelas
jm,jam
jmpt,jemput
jmput,jemput
jng,jangan
jngan,jangan
jngn,jangan
jobbb,job
jobs,job
jooozzzz,jos
joos,jos
joosss,jos
joosssss,jos
jop,job
joss,jos
josss,jos
jossss,jos
josssshhhh,jos
jossssssss,jos
joz,jos
jozz,jos
jozzz,jos
jozzzz,jos
jrak,jarak
jt,juta
jth,jatuh
jugaa,juga
k,ke
kacauuu,kacau
kadang2,kadang-kadang
kaga,nggak
kagak,gak
kagi,lagi
kaka,kakak
kakk,kak
kalikaya,kali kaya
kalk,kalau
kallo,kalau
kalo,kalau
kalsu,kalau
kamain,lamain
kamii,kami
kangen2an,kangen-kangenan
kapooook,kapok
karna,karena
karyawanya,karyawannya
kasi,kasih
kasianndriber,kasian driver
kasii,kasih
kastamer,customer
kastemer,customer
kastemr,customer
kata2,kata-kata
kata2in,kata-katain
katany,katanya
kbnyakn,kebanyakan
kburu,keburu
kdang,kadang
kdg,kadang
kdng,kadang
kebanyakn,kebanyakan
keburu2,keburu-buru
kecewaa,kecewa
kecewaaa,kecewa
kecewaaaa,kecewa
kecewaaaaa,kecewa
kecewaaaaaa,kecewa
kecewe,kecewa
kedpn,ke depan
keduakali,kedua kali
kejadian2,kejadian-kejadian
kejkt,ke jakarta
kekampung2,ke kampung-kampung
kelaperannn,kelaparan
kelar2,kelar-kelar
kelazzzz,kelaz
keluar2,keluar-keluar
kemana2,kemana-mana
kemanapunnn,kemanapun
kembaliiinnnnn,kembaliin
kenapaasi,kenapa sih
kencel,cancel
kendalla,kendala
kenpa,kenapa
kensel,cancel
kereeeeen,keren
kereeeen,keren
kereeen,keren
kereen,keren
kerenn,keren
kerennn,keren
kerennnn,keren
kerjaaaaaaa,kerja
kerreennn,keren
kers,keras
kesall,kesal
keseeell,kesel
kesell,kesel
kesellll,kesel
kesellllll,kesel
kesian,kasian
keterlalluan,keterlaluan
ketikasesuain,ketidaksesuaian
ketitik,ke titik
ketuaaa,ketua
kg,nggak
kh,kah
khan,kan
kikirrr,kikir
kilatt,kilat
kinjaaaaa,kinja
